nama_sertifikasi,score_rating,berbayar_free,lembaga_sertifikasi,available_unavailable,enrollment,metode,masa_berlaku,genre,url,source_file
TypeScript Interactive Class for Beginners,0.0,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/typescript-interactive-class-for-beginners/,codepolitan_final_full.csv
Bikin Platform Event Management Seperti Goers dengan Express + Xendit,0.0,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/bikin-platform-event-management-seperti-goers-dengan-express-xendit/,codepolitan_final_full.csv
Vibe Coding 101 Membangun Aplikasi Berbasis AI Smart Ibadah Tracker dengan Antigravity,0.0,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/vibe-coding-101-membangun-aplikasi-berbasis-ai-dengan-antigravity/,codepolitan_final_full.csv
Warung Go Digital Bangun Aplikasi Kasir Custom Pakai AI,0.0,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/warung-go-digital-bangun-aplikasi-kasir-custom-pakai-ai/,codepolitan_final_full.csv
Vibe Coding Ramadhan Bikin Aplikasi AI Rekomendasi Menu Sahur & Buka Puasa,0.0,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/vibe-coding-ramadhan-bikin-aplikasi-ai-rekomendasi-menu-sahur-buka-puasa/,codepolitan_final_full.csv
Vibe Coding 101 Building a Web App AI Product Description Generator,0.0,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/vibe-coding-101-building-a-web-app-ai-product-description-generator/,codepolitan_final_full.csv
Ruang Fokus Buat Pomodoro sendiri,5.0,Free,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/ruang-fokus-buat-pomodoro-sendiri/,codepolitan_final_full.csv
Production-Ready Image Tools with Vibe Coding Resize Compress Convert,0.0,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/productionready-image-tools-with-vibe-coding-resize-compress-convert/,codepolitan_final_full.csv
Ngoding Bareng AI Bikin Website Portofolio Siap Online dalam 1 Jam feat Bolt + Copilot,0.0,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/ngoding-bareng-ai-bikin-website-portofolio-siap-online-dalam-1-jam-feat-bolt-copilot/,codepolitan_final_full.csv
Build Your Own Telegram Bot Otomatisasi Chat dengan N8n,0.0,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/build-your-own-telegram-bot-otomatisasi-chat-dengan-n8n/,codepolitan_final_full.csv
Build Your Own AI Tools AI Invoice & Quotation Generator,0.0,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/build-your-own-ai-tools-ai-invoice-quotation-generator/,codepolitan_final_full.csv
